EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-349-92,2003-07-24,2003-07-24,14.5,2003-07-24,1,714.8,2003-07-24,714.8,1,1,1,Flood
INDOFLOODS-gauge-349-93,2003-07-26,2003-07-29,14.99,2003-07-28,1,956.5,2003-07-28,2935.1,4,3,2,Flood
INDOFLOODS-gauge-349-94,2003-08-07,2003-08-07,14.1,2003-08-07,1,549.3,2003-08-07,549.3,1,1,1,Flood
INDOFLOODS-gauge-349-95,2004-07-29,2004-07-31,14.82,2004-07-31,1,565.2,2004-07-31,1537.5,3,3,1,Flood
INDOFLOODS-gauge-349-96,2004-08-03,2004-08-07,15.33,2004-08-04,1,705.3,2004-08-04,2471.3,5,2,4,Flood
INDOFLOODS-gauge-349-97,2004-08-12,2004-08-15,15.53,2004-08-13,1,765.1,2004-08-13,2142.3,4,2,3,Flood
INDOFLOODS-gauge-349-98,2005-06-29,2005-07-01,14.2,2005-06-30,1,641.0,2005-06-30,1832.6,3,2,2,Flood
INDOFLOODS-gauge-349-99,2005-07-05,2005-07-05,15.5,2005-07-05,1,1243.16,2005-07-05,1243.16,1,1,1,Flood
INDOFLOODS-gauge-349-100,2005-07-24,2005-07-27,17.0,2005-07-25,1,1807.87,2005-07-25,5128.9,4,2,3,Severe Flood
INDOFLOODS-gauge-349-101,2005-07-29,2005-08-06,16.0,2005-08-02,1,1391.36,2005-08-02,8710.96,9,5,5,Flood
INDOFLOODS-gauge-349-102,2005-08-08,2005-08-09,14.81,2005-08-09,1,730.24,2005-08-09,1417.51,2,2,1,Flood
INDOFLOODS-gauge-349-103,2005-09-23,2005-09-23,14.71,2005-09-23,1,727.26,2005-09-23,727.26,1,1,1,Flood
INDOFLOODS-gauge-349-104,2006-06-29,2006-06-30,14.39,2006-06-29,1,598.34,2006-06-29,1116.34,2,1,2,Flood
INDOFLOODS-gauge-349-105,2006-07-02,2006-07-21,16.48,2006-07-15,1,1780.16,2006-07-15,16206.06,20,14,7,Flood
INDOFLOODS-gauge-349-106,2006-07-23,2006-07-23,14.37,2006-07-23,1,635.2,2006-07-23,635.2,1,1,1,Flood
INDOFLOODS-gauge-349-107,2006-07-25,2006-07-29,14.83,2006-07-28,1,814.35,2006-07-28,3003.87,5,4,2,Flood
INDOFLOODS-gauge-349-108,2006-07-31,2006-08-02,14.55,2006-07-31,1,658.01,2006-07-31,1842.7,3,1,3,Flood
INDOFLOODS-gauge-349-109,2006-08-05,2006-08-18,16.45,2006-08-08,1,1768.6,2006-08-08,13329.63,14,4,11,Flood
INDOFLOODS-gauge-349-110,2007-06-23,2007-06-25,15.16,2007-06-24,1,820.1,2007-06-24,1734.18,3,2,2,Flood
INDOFLOODS-gauge-349-111,2007-06-30,2007-07-05,15.4,2007-07-03,1,923.0,2007-07-03,3993.87,6,4,3,Flood
INDOFLOODS-gauge-349-112,2007-07-07,2007-07-11,16.73,2007-07-10,1,1545.52,2007-07-10,4098.33,5,4,2,Flood
INDOFLOODS-gauge-349-113,2007-07-13,2007-07-18,14.95,2007-07-17,1,733.06,2007-07-17,3275.34,6,5,2,Flood
INDOFLOODS-gauge-349-114,2007-08-03,2007-08-12,17.64,2007-08-07,1,2411.52,2007-08-07,10526.92,10,5,6,Severe Flood
INDOFLOODS-gauge-349-115,2007-09-03,2007-09-03,14.46,2007-09-03,1,570.08,2007-09-03,570.08,1,1,1,Flood
INDOFLOODS-gauge-349-116,2007-09-25,2007-09-25,14.73,2007-09-25,1,644.5,2007-09-25,644.5,1,1,1,Flood
INDOFLOODS-gauge-349-117,2008-07-27,2008-08-01,15.87,2008-07-28,1,1013.02,2008-07-28,4145.14,6,2,5,Flood
INDOFLOODS-gauge-349-118,2008-08-03,2008-08-03,14.13,2008-08-03,1,452.1,2008-08-03,452.1,1,1,1,Flood
INDOFLOODS-gauge-349-119,2008-08-09,2008-08-15,17.3,2008-08-12,1,2053.29,2008-08-12,9546.85,7,4,4,Severe Flood
INDOFLOODS-gauge-349-120,2008-09-11,2008-09-11,14.59,2008-09-11,1,613.24,2008-09-11,613.24,1,1,1,Flood
INDOFLOODS-gauge-349-121,2008-09-13,2008-09-13,14.19,2008-09-13,1,451.68,2008-09-13,451.68,1,1,1,Flood
INDOFLOODS-gauge-349-122,2009-07-03,2009-07-12,16.28,2009-07-09,1,1245.67,2009-07-09,7201.69,10,7,4,Flood
INDOFLOODS-gauge-349-123,2009-07-14,2009-07-20,17.75,2009-07-16,1,1847.56,2009-07-16,7879.66,7,3,5,Severe Flood
INDOFLOODS-gauge-349-124,2009-07-22,2009-07-23,14.99,2009-07-22,1,791.16,2009-07-22,1308.84,2,1,2,Flood
INDOFLOODS-gauge-349-125,2009-07-28,2009-07-31,15.59,2009-07-30,1,1091.52,2009-07-30,3023.54,4,3,2,Flood
INDOFLOODS-gauge-349-126,2009-09-05,2009-09-06,14.3,2009-09-06,1,542.2,2009-09-06,1024.08,2,2,1,Flood
INDOFLOODS-gauge-349-127,2009-10-03,2009-10-03,15.6,2009-10-03,1,1029.64,2009-10-03,1029.64,1,1,1,Flood
INDOFLOODS-gauge-349-128,2010-06-26,2010-06-26,15.17,2010-06-26,1,722.69,2010-06-26,722.69,1,1,1,Flood
INDOFLOODS-gauge-349-129,2010-07-20,2010-07-20,14.08,2010-07-20,1,477.13,2010-07-20,477.13,1,1,1,Flood
INDOFLOODS-gauge-349-130,2010-07-25,2010-08-01,16.03,2010-07-29,1,1246.19,2010-07-29,7203.52,8,5,4,Flood
INDOFLOODS-gauge-349-131,2010-08-04,2010-08-04,14.53,2010-08-04,1,699.76,2010-08-04,699.76,1,1,1,Flood
INDOFLOODS-gauge-349-132,2010-08-31,2010-09-01,15.69,2010-08-31,1,1098.08,2010-08-31,1801.66,2,1,2,Flood
INDOFLOODS-gauge-349-133,2010-09-05,2010-09-05,14.48,2010-09-05,1,570.3,2010-09-05,570.3,1,1,1,Flood
INDOFLOODS-gauge-349-134,2011-06-23,2011-06-23,14.28,2011-06-23,1,420.25,2011-06-23,420.25,1,1,1,Flood
INDOFLOODS-gauge-349-135,2011-06-26,2011-06-26,14.26,2011-06-26,1,446.6,2011-06-26,446.6,1,1,1,Flood
INDOFLOODS-gauge-349-136,2011-07-06,2011-07-06,14.76,2011-07-06,1,648.53,2011-07-06,648.53,1,1,1,Flood
INDOFLOODS-gauge-349-137,2011-07-16,2011-07-24,18.37,2011-07-17,1,2355.0,2011-07-17,7672.1,9,2,8,Severe Flood
INDOFLOODS-gauge-349-138,2011-08-04,2011-08-08,15.44,2011-08-04,1,879.16,2011-08-04,3128.93,5,1,5,Flood
INDOFLOODS-gauge-349-139,2011-08-29,2011-09-04,16.64,2011-09-03,1,1275.44,2011-09-03,4845.84,7,6,2,Flood
INDOFLOODS-gauge-349-140,2011-09-06,2011-09-08,14.5,2011-09-07,1,553.23,2011-09-07,1423.27,3,2,2,Flood
INDOFLOODS-gauge-349-141,2012-07-21,2012-07-22,16.01,2012-07-21,1,1103.12,2012-07-21,1619.32,2,1,2,Flood
INDOFLOODS-gauge-349-142,2012-07-24,2012-07-24,14.2,2012-07-24,1,445.3,2012-07-24,445.3,1,1,1,Flood
INDOFLOODS-gauge-349-143,2012-07-27,2012-07-27,15.64,2012-07-27,1,967.25,2012-07-27,967.25,1,1,1,Flood
INDOFLOODS-gauge-349-144,2012-08-04,2012-08-12,16.33,2012-08-11,1,1318.91,2012-08-11,7107.91,9,8,2,Flood
INDOFLOODS-gauge-349-145,2012-08-29,2012-08-29,14.07,2012-08-29,1,446.43,2012-08-29,446.43,1,1,1,Flood
INDOFLOODS-gauge-349-146,2012-09-04,2012-09-04,14.21,2012-09-04,1,484.23,2012-09-04,484.23,1,1,1,Flood
INDOFLOODS-gauge-349-147,2013-07-03,2013-07-07,17.37,2013-07-03,1,1820.28,2013-07-03,4151.21,5,1,5,Severe Flood
INDOFLOODS-gauge-349-148,2013-07-12,2013-07-12,14.05,2013-07-12,1,526.06,2013-07-12,526.06,1,1,1,Flood
INDOFLOODS-gauge-349-149,2013-07-18,2013-08-04,16.53,2013-07-28,1,1389.0,2013-07-28,16889.04,18,11,8,Flood
INDOFLOODS-gauge-349-150,2013-08-17,2013-08-18,15.0,2013-08-17,1,811.79,2013-08-17,1380.89,2,1,2,Flood
INDOFLOODS-gauge-349-151,2013-09-18,2013-09-18,15.0,2013-09-18,1,827.86,2013-09-18,827.86,1,1,1,Flood
INDOFLOODS-gauge-349-152,2014-06-22,2014-06-22,14.1,2014-06-22,1,427.9,2014-06-22,427.9,1,1,1,Flood
INDOFLOODS-gauge-349-153,2014-07-13,2014-07-26,15.58,2014-07-22,1,951.39,2014-07-22,9877.56,14,10,5,Flood
INDOFLOODS-gauge-349-154,2014-07-30,2014-08-09,17.54,2014-07-31,1,1954.88,2014-07-31,10314.3,11,2,10,Severe Flood
INDOFLOODS-gauge-349-155,2014-08-12,2014-08-12,14.09,2014-08-12,1,431.59,2014-08-12,431.59,1,1,1,Flood
INDOFLOODS-gauge-349-156,2014-08-26,2014-08-26,14.52,2014-08-26,1,586.51,2014-08-26,586.51,1,1,1,Flood
INDOFLOODS-gauge-349-157,2014-08-29,2014-08-29,14.21,2014-08-29,1,458.5,2014-08-29,458.5,1,1,1,Flood
INDOFLOODS-gauge-349-158,2014-08-31,2014-09-02,14.65,2014-08-31,1,592.4,2014-08-31,1398.06,3,1,3,Flood
INDOFLOODS-gauge-349-159,2014-09-05,2014-09-05,14.26,2014-09-05,1,509.5,2014-09-05,509.5,1,1,1,Flood
INDOFLOODS-gauge-349-160,2014-09-07,2014-09-07,14.22,2014-09-07,1,461.3,2014-09-07,461.3,1,1,1,Flood
INDOFLOODS-gauge-349-161,2015-07-20,2015-07-20,14.13,2015-07-20,1,449.62,2015-07-20,449.62,1,1,1,Flood
INDOFLOODS-gauge-349-162,2016-06-29,2016-06-30,14.24,2016-06-29,1,501.61,2016-06-29,924.08,2,1,2,Flood
INDOFLOODS-gauge-349-163,2016-07-05,2016-07-05,15.1,2016-07-05,1,782.51,2016-07-05,782.51,1,1,1,Flood
INDOFLOODS-gauge-349-164,2016-08-04,2016-08-05,14.98,2016-08-04,1,744.92,2016-08-04,1248.66,2,1,2,Flood
INDOFLOODS-gauge-349-165,2017-07-02,2017-07-02,14.32,2017-07-02,1,0.0,2017-07-02,,1,1,1,Flood
INDOFLOODS-gauge-349-166,2017-07-19,2017-07-22,16.05,2017-07-20,1,1056.0,2017-07-20,2739.38,4,2,3,Flood
INDOFLOODS-gauge-349-167,2017-08-29,2017-08-30,14.53,2017-08-29,1,585.36,2017-08-29,1125.25,2,1,2,Flood
INDOFLOODS-gauge-349-168,2018-07-06,2018-07-23,16.06,2018-07-10,1,1073.66,2018-07-10,10351.87,18,5,14,Flood
INDOFLOODS-gauge-349-169,2019-08-02,2019-08-20,18.92,2019-08-07,1,,,,19,6,14,Severe Flood
INDOFLOODS-gauge-355-1,2004-06-16,2004-06-16,891.73,2004-06-16,1,291.88,2004-06-16,291.88,1,1,1,Flood
INDOFLOODS-gauge-355-2,2004-08-05,2004-08-05,891.66,2004-08-05,1,268.1,2004-08-05,268.1,1,1,1,Flood
INDOFLOODS-gauge-355-3,2005-07-26,2005-07-28,892.23,2005-07-27,1,448.04,2005-07-27,1261.78,3,2,2,Flood
INDOFLOODS-gauge-355-4,2005-07-31,2005-08-04,892.62,2005-08-03,1,462.5,2005-08-03,1992.96,5,4,2,Flood
INDOFLOODS-gauge-355-5,2006-07-03,2006-07-06,892.04,2006-07-05,1,456.25,2006-07-05,1635.82,4,3,2,Flood
INDOFLOODS-gauge-355-6,2006-07-19,2006-07-20,891.58,2006-07-20,1,380.4,2006-07-20,759.1,2,2,1,Flood
INDOFLOODS-gauge-355-7,2006-08-12,2006-08-12,891.62,2006-08-12,1,293.4,2006-08-12,293.4,1,1,1,Flood
INDOFLOODS-gauge-355-8,2006-08-17,2006-08-18,891.7,2006-08-17,1,307.6,2006-08-17,585.3,2,1,2,Flood
INDOFLOODS-gauge-355-9,2007-06-24,2007-06-24,892.18,2007-06-24,1,369.0,2007-06-24,369.0,1,1,1,Flood
INDOFLOODS-gauge-355-10,2007-06-29,2007-07-05,892.97,2007-07-02,1,613.1,2007-07-01,3012.48,7,4,4,Flood
INDOFLOODS-gauge-355-11,2007-07-07,2007-07-12,892.57,2007-07-08,1,486.3,2007-07-08,2306.3,6,2,5,Flood
INDOFLOODS-gauge-355-12,2007-07-16,2007-07-16,891.49,2007-07-16,1,208.4,2007-07-16,208.4,1,1,1,Flood
INDOFLOODS-gauge-355-13,2007-08-05,2007-08-12,892.84,2007-08-07,1,579.7,2007-08-07,3319.42,8,3,6,Flood
INDOFLOODS-gauge-355-14,2007-08-22,2007-08-22,891.65,2007-08-22,1,240.6,2007-08-22,240.6,1,1,1,Flood
INDOFLOODS-gauge-355-15,2007-09-25,2007-09-25,891.56,2007-09-25,1,222.1,2007-09-25,222.1,1,1,1,Flood
INDOFLOODS-gauge-355-16,2007-10-28,2007-10-28,892.13,2007-10-28,1,356.8,2007-10-28,356.8,1,1,1,Flood
INDOFLOODS-gauge-355-17,2008-07-29,2008-07-29,891.64,2008-07-29,1,165.5,2008-07-29,165.5,1,1,1,Flood
INDOFLOODS-gauge-355-18,2008-07-31,2008-07-31,891.49,2008-07-31,1,143.8,2008-07-31,143.8,1,1,1,Flood
INDOFLOODS-gauge-355-19,2008-08-11,2008-08-15,892.85,2008-08-13,2,383.4,2008-08-13,1538.7,5,3,3,Flood
INDOFLOODS-gauge-355-20,2009-07-15,2009-07-19,892.97,2009-07-16,1,717.9,2009-07-16,3020.08,5,2,4,Flood
INDOFLOODS-gauge-355-21,2009-07-22,2009-07-22,891.52,2009-07-22,1,344.2,2009-07-22,344.2,1,1,1,Flood
INDOFLOODS-gauge-355-22,2011-09-03,2011-09-04,891.6,2011-09-03,1,292.17,2011-09-03,550.17,2,1,2,Flood
INDOFLOODS-gauge-355-23,2012-08-06,2012-08-06,891.79,2012-08-06,1,453.49,2012-08-06,453.49,1,1,1,Flood
INDOFLOODS-gauge-355-24,2013-07-25,2013-07-26,891.82,2013-07-26,1,380.52,2013-07-26,718.68,2,2,1,Flood
INDOFLOODS-gauge-355-25,2013-07-28,2013-07-28,891.48,2013-07-28,1,374.7,2013-07-28,374.7,1,1,1,Flood
INDOFLOODS-gauge-355-26,2013-08-01,2013-08-04,893.35,2013-08-02,1,757.59,2013-08-02,2163.94,4,2,3,Severe Flood
INDOFLOODS-gauge-355-27,2014-07-31,2014-08-02,891.82,2014-07-31,1,487.74,2014-07-31,1349.3,3,1,3,Flood
INDOFLOODS-gauge-355-28,2014-08-06,2014-08-06,891.48,2014-08-06,1,370.1,2014-08-06,370.1,1,1,1,Flood
INDOFLOODS-gauge-355-29,2015-06-22,2015-06-22,891.47,2015-06-22,1,360.16,2015-06-22,360.16,1,1,1,Flood
INDOFLOODS-gauge-355-30,2018-07-14,2018-07-14,891.6,2018-07-14,1,317.32,2018-07-14,317.32,1,1,1,Flood
INDOFLOODS-gauge-355-31,2019-08-08,2019-08-08,893.75,2019-08-08,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-361-1,1978-09-26,1978-09-28,584.1,1978-09-27,1,585.0,1978-09-27,1181.2,3,2,2,Severe Flood
INDOFLOODS-gauge-361-2,1978-10-18,1978-10-20,583.4,1978-10-19,1,380.6,1978-10-19,869.3,3,2,2,Severe Flood
INDOFLOODS-gauge-361-3,1978-11-08,1978-11-09,583.16,1978-11-09,1,317.4,1978-11-09,519.4,2,2,1,Severe Flood
INDOFLOODS-gauge-361-4,1979-09-03,1979-09-03,582.46,1979-09-03,1,80.6,1979-09-03,80.6,1,1,1,Flood
INDOFLOODS-gauge-361-5,1979-09-09,1979-09-20,583.55,1979-09-14,1,285.0,1979-09-09,1961.0,12,6,7,Severe Flood
INDOFLOODS-gauge-361-6,1979-10-08,1979-10-11,583.07,1979-10-08,1,172.6,1979-10-09,523.3,4,1,4,Severe Flood
INDOFLOODS-gauge-361-7,1979-10-29,1979-11-01,583.95,1979-10-29,1,377.1,1979-10-29,941.7,4,1,4,Severe Flood
INDOFLOODS-gauge-361-8,1979-11-18,1979-11-22,582.67,1979-11-19,1,114.6,1979-11-20,485.2,5,2,4,Severe Flood
INDOFLOODS-gauge-361-9,1979-11-25,1979-11-25,582.34,1979-11-25,1,77.0,1979-11-25,77.0,1,1,1,Flood
INDOFLOODS-gauge-361-10,1980-09-21,1980-09-26,583.29,1980-09-22,1,199.0,1980-09-22,769.6,6,2,5,Severe Flood
INDOFLOODS-gauge-361-11,1980-10-02,1980-10-05,582.56,1980-10-02,1,102.5,1980-10-02,352.0,4,1,4,Severe Flood
INDOFLOODS-gauge-361-12,1980-10-12,1980-10-12,582.44,1980-10-12,1,88.0,1980-10-12,88.0,1,1,1,Flood
INDOFLOODS-gauge-361-13,1980-10-23,1980-10-26,583.03,1980-10-23,1,175.2,1980-10-23,522.5,4,1,4,Severe Flood
INDOFLOODS-gauge-361-14,1980-11-14,1980-11-17,583.0,1980-11-15,1,165.8,1980-11-15,449.2,4,2,3,Severe Flood
INDOFLOODS-gauge-361-15,1981-05-31,1981-05-31,582.4,1981-05-31,1,102.5,1981-05-31,102.5,1,1,1,Flood
INDOFLOODS-gauge-361-16,1981-08-29,1981-08-31,582.79,1981-08-30,1,120.0,1981-08-30,273.6,3,2,2,Severe Flood
INDOFLOODS-gauge-361-17,1981-09-04,1981-09-22,585.15,1981-09-13,1,711.5,1981-09-13,4952.0,19,10,10,Severe Flood
INDOFLOODS-gauge-361-18,1981-09-26,1981-09-26,582.46,1981-09-26,1,80.7,1981-09-26,80.7,1,1,1,Flood
INDOFLOODS-gauge-361-19,1981-10-05,1981-10-14,584.06,1981-10-07,1,375.0,1981-10-06,1922.2,10,3,8,Severe Flood
INDOFLOODS-gauge-361-20,1981-10-28,1981-11-04,582.78,1981-11-04,1,128.6,1981-11-04,669.8,8,8,1,Severe Flood
INDOFLOODS-gauge-361-21,1981-11-08,1981-11-11,582.67,1981-11-08,1,103.0,1981-11-08,328.0,4,1,4,Severe Flood
INDOFLOODS-gauge-361-22,1982-06-11,1982-06-12,582.36,1982-06-11,1,74.5,1982-06-11,137.2,2,1,2,Flood
INDOFLOODS-gauge-361-23,1982-09-19,1982-09-19,582.58,1982-09-19,1,94.0,1982-09-19,94.0,1,1,1,Severe Flood
INDOFLOODS-gauge-361-24,1982-09-21,1982-09-22,582.77,1982-09-21,1,114.9,1982-09-21,184.3,2,1,2,Severe Flood
INDOFLOODS-gauge-361-25,1982-10-20,1982-10-20,582.56,1982-10-20,1,98.4,1982-10-20,98.4,1,1,1,Severe Flood
INDOFLOODS-gauge-361-26,1982-11-06,1982-11-09,582.55,1982-11-06,1,101.6,1982-11-06,319.1,4,1,4,Severe Flood
INDOFLOODS-gauge-361-27,1983-06-14,1983-06-14,582.58,1983-06-14,1,102.5,1983-06-14,102.5,1,1,1,Severe Flood
INDOFLOODS-gauge-361-28,1983-08-21,1983-08-24,583.75,1983-08-22,1,365.0,1983-08-22,715.4,4,2,3,Severe Flood
INDOFLOODS-gauge-361-29,1983-08-28,1983-08-28,582.28,1983-08-28,1,65.0,1983-08-28,65.0,1,1,1,Flood
INDOFLOODS-gauge-361-30,1983-09-07,1983-09-08,582.87,1983-09-07,1,150.1,1983-09-07,273.1,2,1,2,Severe Flood
INDOFLOODS-gauge-361-31,1983-09-11,1983-09-15,585.61,1983-09-12,1,979.9,1983-09-12,2207.3,5,2,4,Severe Flood
INDOFLOODS-gauge-361-32,1983-11-03,1983-11-04,582.77,1983-11-03,1,133.0,1983-11-03,218.7,2,1,2,Severe Flood
INDOFLOODS-gauge-361-33,1983-11-06,1983-11-06,582.33,1983-11-06,1,71.8,1983-11-06,71.8,1,1,1,Flood
INDOFLOODS-gauge-361-34,1983-12-24,1983-12-28,582.74,1983-12-25,1,125.0,1983-12-25,469.5,5,2,4,Severe Flood
INDOFLOODS-gauge-361-35,1984-03-06,1984-03-09,584.08,1984-03-06,1,463.4,1984-03-06,1117.0,4,1,4,Severe Flood
INDOFLOODS-gauge-361-36,1984-09-24,1984-10-09,585.92,1984-10-03,1,1218.8,1984-10-03,3989.0,16,10,7,Severe Flood
INDOFLOODS-gauge-361-37,1984-10-29,1984-10-29,582.29,1984-10-29,1,60.6,1984-10-29,60.6,1,1,1,Flood
INDOFLOODS-gauge-361-38,1985-08-24,1985-08-25,582.59,1985-08-24,1,100.0,1985-08-24,188.5,2,1,2,Severe Flood
INDOFLOODS-gauge-361-39,1985-09-24,1985-10-04,583.1,1985-09-25,1,176.5,1985-09-25,1182.8,11,2,10,Severe Flood
INDOFLOODS-gauge-361-40,1985-11-10,1985-11-10,582.44,1985-11-10,1,83.0,1985-11-10,83.0,1,1,1,Flood
INDOFLOODS-gauge-361-41,1986-09-16,1986-09-19,584.07,1986-09-17,1,501.0,1986-09-17,895.0,4,2,3,Severe Flood
INDOFLOODS-gauge-361-42,1986-09-23,1986-09-25,583.43,1986-09-23,1,217.1,1986-09-23,456.4,3,1,3,Severe Flood
INDOFLOODS-gauge-361-43,1986-09-29,1986-09-29,582.37,1986-09-29,1,61.3,1986-09-29,61.3,1,1,1,Flood
INDOFLOODS-gauge-361-44,1986-10-02,1986-10-02,582.82,1986-10-02,1,123.0,1986-10-02,123.0,1,1,1,Severe Flood
INDOFLOODS-gauge-361-45,1986-10-04,1986-10-11,584.46,1986-10-08,1,614.4,1986-10-08,1477.5,8,5,4,Severe Flood
INDOFLOODS-gauge-361-46,1986-11-02,1986-11-09,583.11,1986-11-05,1,164.2,1986-11-03,957.2,8,4,5,Severe Flood
INDOFLOODS-gauge-361-47,1987-06-25,1987-06-26,583.01,1987-06-26,1,136.8,1987-06-26,271.3,2,2,1,Severe Flood
INDOFLOODS-gauge-361-48,1987-09-24,1987-09-25,582.9,1987-09-25,1,131.9,1987-09-25,216.75,2,2,1,Severe Flood
INDOFLOODS-gauge-361-49,1987-10-03,1987-10-03,582.36,1987-10-03,1,64.85,1987-10-03,64.85,1,1,1,Flood
INDOFLOODS-gauge-361-50,1987-10-07,1987-10-07,582.46,1987-10-07,1,77.84,1987-10-07,77.84,1,1,1,Flood
INDOFLOODS-gauge-361-51,1987-10-09,1987-10-15,584.01,1987-10-09,1,415.0,1987-10-09,1169.6,7,1,7,Severe Flood
INDOFLOODS-gauge-361-52,1987-10-20,1987-10-20,582.26,1987-10-20,1,56.0,1987-10-20,56.0,1,1,1,Flood
INDOFLOODS-gauge-361-53,1987-10-22,1987-10-24,583.45,1987-10-22,1,243.1,1987-10-22,395.54,3,1,3,Severe Flood
INDOFLOODS-gauge-361-54,1987-11-08,1987-11-08,583.33,1987-11-08,1,223.5,1987-11-08,223.5,1,1,1,Severe Flood
INDOFLOODS-gauge-361-55,1987-11-21,1987-11-24,583.54,1987-11-21,1,273.9,1987-11-22,757.5,4,1,4,Severe Flood
INDOFLOODS-gauge-361-56,1987-12-10,1987-12-10,582.38,1987-12-10,1,78.92,1987-12-10,78.92,1,1,1,Flood
INDOFLOODS-gauge-361-57,1987-12-15,1987-12-16,582.62,1987-12-15,1,106.2,1987-12-15,192.82,2,1,2,Severe Flood
INDOFLOODS-gauge-361-58,1988-08-15,1988-08-19,582.97,1988-08-15,1,143.5,1988-08-15,470.79,5,1,5,Severe Flood
INDOFLOODS-gauge-361-59,1988-08-26,1988-09-03,584.2,1988-08-30,1,473.6,1988-08-30,2324.1,9,5,5,Severe Flood
INDOFLOODS-gauge-361-60,1988-09-08,1988-09-23,585.22,1988-09-15,1,971.2,1988-09-15,7277.04,16,8,9,Severe Flood
INDOFLOODS-gauge-361-61,1988-09-27,1988-09-30,584.25,1988-09-27,1,491.3,1988-09-27,822.65,4,1,4,Severe Flood
INDOFLOODS-gauge-361-62,1988-10-07,1988-10-10,582.54,1988-10-08,1,85.49,1988-10-07,327.99,4,2,3,Severe Flood
INDOFLOODS-gauge-361-63,1989-09-20,1989-09-27,582.88,1989-09-21,1,140.2,1989-09-21,861.2,8,2,7,Severe Flood
INDOFLOODS-gauge-361-64,1989-10-07,1989-10-10,582.88,1989-10-09,1,143.5,1989-10-09,455.6,4,3,2,Severe Flood
INDOFLOODS-gauge-361-65,1989-10-20,1989-10-23,584.21,1989-10-21,1,482.2,1989-10-21,896.9,4,2,3,Severe Flood
INDOFLOODS-gauge-361-66,1989-10-31,1989-10-31,582.27,1989-10-31,1,69.68,1989-10-31,69.68,1,1,1,Flood
INDOFLOODS-gauge-361-67,1990-10-25,1990-10-25,582.31,1990-10-25,1,76.5,1990-10-25,76.5,1,1,1,Flood
INDOFLOODS-gauge-361-68,1991-06-04,1991-06-07,583.29,1991-06-05,1,206.4,1991-06-04,593.95,4,2,3,Severe Flood
INDOFLOODS-gauge-361-69,1991-09-14,1991-09-18,583.53,1991-09-14,1,271.5,1991-09-14,790.86,5,1,5,Severe Flood
INDOFLOODS-gauge-361-70,1991-10-09,1991-10-13,583.08,1991-10-11,1,168.5,1991-10-11,473.85,5,3,3,Severe Flood
INDOFLOODS-gauge-361-71,1991-10-30,1991-11-08,584.54,1991-10-30,1,515.4,1991-10-30,1897.17,10,1,10,Severe Flood
INDOFLOODS-gauge-361-72,1991-11-10,1991-11-12,582.69,1991-11-11,1,107.1,1991-11-11,262.82,3,2,2,Severe Flood
INDOFLOODS-gauge-361-73,1991-11-16,1991-11-20,583.12,1991-11-17,1,173.8,1991-11-17,498.22,5,2,4,Severe Flood
INDOFLOODS-gauge-361-74,1992-07-09,1992-07-09,582.27,1992-07-09,1,63.16,1992-07-09,63.16,1,1,1,Flood
INDOFLOODS-gauge-361-75,1992-09-19,1992-09-22,582.69,1992-09-21,1,110.3,1992-09-21,378.76,4,3,2,Severe Flood
INDOFLOODS-gauge-361-76,1992-09-29,1992-10-02,583.2,1992-09-30,1,188.3,1992-09-30,458.94,4,2,3,Severe Flood
INDOFLOODS-gauge-361-77,1992-10-06,1992-10-11,583.32,1992-10-06,1,222.0,1992-10-06,831.83,6,1,6,Severe Flood
INDOFLOODS-gauge-361-78,1992-10-16,1992-10-21,583.08,1992-10-19,1,168.8,1992-10-19,743.65,6,4,3,Severe Flood
INDOFLOODS-gauge-361-79,1993-06-07,1993-06-07,582.27,1993-06-07,1,63.03,1993-06-07,63.03,1,1,1,Flood
INDOFLOODS-gauge-361-80,1993-08-29,1993-08-30,582.41,1993-08-29,1,79.31,1993-08-29,145.38,2,1,2,Flood
INDOFLOODS-gauge-361-81,1993-09-02,1993-09-07,582.75,1993-09-05,1,119.9,1993-09-05,585.35,6,4,3,Severe Flood
INDOFLOODS-gauge-361-82,1993-10-08,1993-10-11,583.59,1993-10-08,1,256.1,1993-10-08,754.08,4,1,4,Severe Flood
INDOFLOODS-gauge-361-83,1993-10-13,1993-10-18,583.14,1993-10-14,1,176.4,1993-10-14,807.22,6,2,5,Severe Flood
INDOFLOODS-gauge-361-84,1993-10-24,1993-10-25,582.37,1993-10-24,1,75.44,1993-10-24,147.15,2,1,2,Flood
INDOFLOODS-gauge-361-85,1993-12-06,1993-12-06,582.37,1993-12-06,1,79.92,1993-12-06,79.92,1,1,1,Flood
INDOFLOODS-gauge-361-86,1994-01-19,1994-01-19,582.43,1994-01-19,1,87.01,1994-01-19,87.01,1,1,1,Flood
INDOFLOODS-gauge-361-87,1994-09-29,1994-09-29,582.35,1994-09-29,1,61.0,1994-09-29,61.0,1,1,1,Flood
INDOFLOODS-gauge-361-88,1994-10-02,1994-10-06,582.91,1994-10-02,1,125.0,1994-10-02,462.18,5,1,5,Severe Flood
